               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.037727,            0.015343,           0.0067227,              0.8103,             0.68666,             0.78221,             0.38114,            0.032364,           0.0057897,           0.0030165,           0.0084759,           0.0084759,           0.0084759
                  83,            0.039051,            0.015275,           0.0070018,             0.70674,              0.6642,             0.70087,             0.30842,            0.033046,           0.0062078,           0.0051139,           0.0084404,           0.0084404,           0.0084404
                  84,            0.039446,            0.015647,            0.006371,              0.6555,             0.72894,             0.71837,             0.35318,            0.032837,           0.0059793,           0.0032827,           0.0084046,           0.0084046,           0.0084046
                  85,            0.036922,            0.015431,           0.0052263,              0.7242,             0.74358,             0.74195,             0.39173,            0.031212,           0.0058641,           0.0023893,           0.0083684,           0.0083684,           0.0083684
                  86,             0.03649,            0.015369,           0.0059805,             0.76222,             0.70027,             0.73852,             0.34071,             0.03275,           0.0059569,           0.0043431,           0.0083319,           0.0083319,           0.0083319
                  87,            0.037697,            0.015192,           0.0060894,             0.81656,             0.69622,             0.77855,             0.37329,            0.031662,           0.0057451,           0.0024485,           0.0082952,           0.0082952,           0.0082952
                  88,            0.037518,            0.014919,           0.0061551,             0.77307,             0.72334,             0.77282,             0.39088,            0.030516,           0.0057206,           0.0026005,           0.0082581,           0.0082581,           0.0082581
                  89,            0.038523,            0.015193,           0.0063837,             0.68753,             0.74982,             0.77576,             0.36973,            0.030888,           0.0059109,           0.0030834,           0.0082207,           0.0082207,           0.0082207
                  90,             0.03663,            0.014883,           0.0054985,             0.85508,              0.7323,             0.82408,              0.4126,            0.030606,           0.0055434,           0.0029263,            0.008183,            0.008183,            0.008183
                  91,            0.035943,             0.01491,           0.0055365,             0.74776,             0.76211,             0.79597,               0.401,            0.030045,           0.0056456,           0.0027891,            0.008145,            0.008145,            0.008145
                  92,            0.034905,            0.015001,            0.005881,             0.82372,             0.76511,             0.81287,             0.39604,            0.030041,           0.0056421,           0.0025611,           0.0081068,           0.0081068,           0.0081068
                  93,            0.037467,            0.015544,            0.005454,             0.80273,             0.66599,             0.77971,              0.3939,             0.03038,           0.0057129,           0.0037948,           0.0080682,           0.0080682,           0.0080682
                  94,            0.037323,            0.014797,           0.0050039,             0.74553,             0.78578,             0.81302,             0.40208,            0.031109,           0.0055277,           0.0028575,           0.0080294,           0.0080294,           0.0080294
                  95,            0.035088,            0.014713,           0.0049809,             0.76224,             0.74104,             0.79705,             0.38976,            0.032012,           0.0056855,           0.0024464,           0.0079903,           0.0079903,           0.0079903
                  96,             0.03509,             0.01521,           0.0062103,             0.79375,             0.66767,             0.75925,             0.36168,            0.030328,           0.0056248,           0.0027305,           0.0079509,           0.0079509,           0.0079509
                  97,            0.036716,            0.015408,           0.0053107,             0.83081,             0.70852,             0.79115,               0.388,            0.031474,           0.0055949,           0.0038857,           0.0079112,           0.0079112,           0.0079112
                  98,            0.037676,            0.015113,           0.0073752,             0.77563,             0.70632,             0.77013,             0.38174,            0.031275,           0.0055216,            0.004773,           0.0078713,           0.0078713,           0.0078713
                  99,            0.037071,            0.014625,            0.004919,             0.84359,             0.72123,             0.81563,             0.40982,            0.031821,           0.0054206,           0.0027606,           0.0078311,           0.0078311,           0.0078311
                 100,            0.034592,            0.014853,           0.0056782,             0.77449,              0.7612,             0.78021,             0.39494,            0.031819,           0.0055305,           0.0028397,           0.0077907,           0.0077907,           0.0077907
                 101,            0.036561,            0.014412,           0.0052862,             0.85189,             0.73199,             0.82582,             0.43976,            0.031135,           0.0052711,           0.0017568,             0.00775,             0.00775,             0.00775
                 102,            0.035978,             0.01484,           0.0047175,             0.71167,             0.77206,             0.79494,              0.4181,             0.02949,           0.0054317,           0.0032353,           0.0077091,           0.0077091,           0.0077091
                 103,            0.034567,             0.01462,           0.0058736,             0.76761,             0.73415,             0.78445,             0.42533,            0.030154,            0.005477,           0.0025436,           0.0076679,           0.0076679,           0.0076679
                 104,            0.035428,            0.014985,           0.0058461,             0.80904,             0.69847,               0.791,             0.40658,            0.031306,           0.0054631,            0.002038,           0.0076265,           0.0076265,           0.0076265
                 105,            0.033969,            0.014902,           0.0049809,             0.84962,             0.73186,             0.81442,             0.41657,            0.030072,           0.0054203,           0.0019347,           0.0075848,           0.0075848,           0.0075848
                 106,            0.035726,            0.014607,             0.00474,             0.87077,             0.66591,             0.78968,             0.41584,            0.031363,           0.0053358,           0.0034218,            0.007543,            0.007543,            0.007543
                 107,            0.035336,            0.014675,           0.0052365,             0.84335,             0.71773,             0.82065,             0.45231,             0.02998,           0.0053377,           0.0028212,           0.0075009,           0.0075009,           0.0075009
                 108,            0.035076,            0.014493,           0.0055215,             0.82913,              0.7155,             0.80204,             0.41931,            0.029782,            0.005444,           0.0025829,           0.0074585,           0.0074585,           0.0074585
                 109,             0.03455,            0.014437,           0.0050424,             0.76714,             0.76729,             0.79017,             0.42113,            0.030053,           0.0054105,           0.0025144,            0.007416,            0.007416,            0.007416
                 110,            0.035032,            0.014568,           0.0051153,             0.77795,               0.769,             0.78552,             0.41918,            0.032355,            0.005363,           0.0028385,           0.0073733,           0.0073733,           0.0073733
                 111,            0.035734,            0.014957,           0.0054577,             0.80071,             0.68101,             0.79878,             0.41791,            0.029775,           0.0054125,           0.0028177,           0.0073303,           0.0073303,           0.0073303
                 112,            0.034071,            0.014931,           0.0049567,             0.81599,              0.7379,             0.82275,             0.44157,            0.029052,           0.0053229,           0.0023712,           0.0072872,           0.0072872,           0.0072872
                 113,            0.035168,             0.01428,           0.0050542,             0.83782,             0.73306,             0.82651,             0.43223,            0.031444,           0.0054884,            0.003072,           0.0072438,           0.0072438,           0.0072438
                 114,            0.035278,            0.014189,           0.0040979,             0.84579,             0.71817,             0.79763,             0.40917,            0.030215,           0.0054582,           0.0025326,           0.0072003,           0.0072003,           0.0072003
                 115,            0.034851,            0.014191,           0.0043089,             0.82075,             0.75831,             0.82409,             0.44709,            0.030034,           0.0052866,           0.0025637,           0.0071566,           0.0071566,           0.0071566
                 116,            0.033088,            0.014447,           0.0063823,             0.81634,             0.75745,             0.82611,             0.42746,            0.030992,           0.0054112,            0.002585,           0.0071127,           0.0071127,           0.0071127
                 117,            0.034402,            0.014527,           0.0044587,             0.79422,             0.73454,             0.79721,             0.41543,            0.028631,            0.005439,           0.0020927,           0.0070686,           0.0070686,           0.0070686
